"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","symbol"
998.337855826789,4.57225300622709,0.183939956396153,24.857312656853,2.15549657901434e-136,3.5772621225322e-132,"ENSG00000152583","SPARCL1"
495.74390646324,3.28848358168545,0.132631456131203,24.7941452021184,1.03681176006013e-135,8.60346398497898e-132,"ENSG00000165995","CACNB2"
3412.96636722969,2.9451969891862,0.122180874252548,24.1052211093078,2.20365221229597e-128,1.21906040384213e-124,"ENSG00000120129","DUSP1"
12718.3059992293,3.76436377746786,0.15635806877871,24.0752767469613,4.53906926724007e-128,1.8832598389779e-124,"ENSG00000101347","SAMHD1"
2344.07926169212,3.35103922771246,0.142170605533898,23.5705490254345,7.72911582063044e-123,2.56544812318366e-119,"ENSG00000189221","MAOA"
12303.0282271948,3.72776590248165,0.166985138521174,22.3239381390157,2.16366961601773e-110,5.98471015790504e-107,"ENSG00000211445","GPX3"
3013.49816283239,1.97412025278086,0.0912427610022477,21.6359109599087,8.25036432467122e-104,1.95604351903205e-100,"ENSG00000157214","STEAP2"
5400.10399071683,2.03303436544005,0.0959172233911165,21.1957174484718,1.04592429174103e-99,2.16976994321676e-96,"ENSG00000162614","NEXN"
3660.24035945837,2.20834046248598,0.106895962878141,20.6587826427406,8.1390403011618e-95,1.50083903153424e-91,"ENSG00000125148","MT2A"
30352.2379328693,2.34296680520254,0.117437075128183,19.9508273059864,1.47428683556074e-88,2.4467264322966e-85,"ENSG00000154734","ADAMTS1"
1224.85906994744,2.22623970985762,0.113145588805793,19.675886027504,3.47057666020328e-86,5.23615365933943e-83,"ENSG00000139132","FGD4"
1101.05048584945,1.88866368767133,0.0965063818181232,19.5703501891795,2.76773269886416e-85,3.82777432252914e-82,"ENSG00000162493","PDPN"
509.374874361374,-3.69479426958083,0.189242389102619,-19.5241366751996,6.8464293484379e-85,8.74025703589811e-82,"ENSG00000162692","VCAM1"
777.318224357546,3.18908333651424,0.163554146319149,19.4986394920938,1.12741522719213e-84,1.33647022217719e-81,"ENSG00000179094","PER1"
5517.59581613519,2.19305099469084,0.112804877830726,19.4411007472719,3.46647897622309e-84,3.83531233929323e-81,"ENSG00000134243","SORT1"
561.688060329866,4.45677506640939,0.233493984088897,19.0873228867113,3.21846033031215e-81,3.33834797761628e-78,"ENSG00000163884","KLF15"
2656.00165466089,-2.53087317021493,0.135412533075398,-18.6900954641011,5.96062558701903e-78,5.8189730730687e-75,"ENSG00000178695","KCTD12"
1368.06694228104,-1.81713760780362,0.100900367328146,-18.0092268831287,1.64915791359639e-72,1.52052359633587e-69,"ENSG00000148848","ADAM12"
2059.60456650262,2.91580343586378,0.162011739897202,17.9974823905594,2.03878379799021e-72,1.78082399533924e-69,"ENSG00000198624","CCDC69"
314.499955579332,-2.7587917378416,0.153489042631635,-17.9738676490579,3.12172426778483e-72,2.59040679740785e-69,"ENSG00000146250","PRSS35"
25187.5384327785,-1.91430964115835,0.107139199709717,-17.8674999098834,2.11252119445827e-71,1.66949532110616e-68,"ENSG00000107562","CXCL12"
886.712933076839,-1.75892816985671,0.100178552593258,-17.5579315564505,5.17260331786074e-69,3.90202384832804e-66,"ENSG00000106976","DNM1"
670.990162666368,1.89587400195506,0.108755564282495,17.4324322112888,4.68118907255193e-68,3.37778321078573e-65,"ENSG00000154930","ACSS1"
1220.39993204208,-2.19127610904015,0.126138313662439,-17.3720104971774,1.34432041180273e-67,9.2959756476159e-65,"ENSG00000163394","CCKAR"
1041.50939497766,1.98642243154959,0.115170845121409,17.2476153097216,1.16614120515065e-66,7.74131177627205e-64,"ENSG00000253368","TRNP1"
8576.64931766202,2.25762308407542,0.131609556162248,17.1539449710797,5.87268884453596e-66,3.74858246399688e-63,"ENSG00000163661","PTX3"
1284.22836542779,-2.41468875291329,0.141108102127239,-17.1123324352838,1.20092651183724e-65,7.38169495942626e-63,"ENSG00000124766","SOX4"
1971.09046793645,2.3184201346117,0.136016540368276,17.045133836917,3.79873605332458e-65,2.25156512646338e-62,"ENSG00000197381","ADARB1"
1469.61478449393,1.51648289585332,0.089001110119946,17.0389211304171,4.22452822809883e-65,2.41759553356994e-62,"ENSG00000162616","DNAJB4"
11208.0708502114,1.44523536312162,0.0858560390731736,16.8332406051236,1.39266730797339e-63,7.70423554770882e-61,"ENSG00000148175","STOM"
3236.38741163337,2.42189189424703,0.144798070487544,16.7259956302758,8.47480248656278e-63,4.53702651829019e-60,"ENSG00000116285","ERRFI1"
8024.15327009175,1.74173433466531,0.1042025053382,16.7148988310054,1.02093074127613e-62,5.29480205694334e-60,"ENSG00000172403","SYNPO2"
419.056892805156,3.44776450270895,0.207353103118358,16.6275037646336,4.40570667906944e-62,2.21566994078292e-59,"ENSG00000163083","INHBB"
7440.95640874438,2.18475103457201,0.135314338044176,16.1457467564062,1.2166708153924e-58,5.93878495654477e-56,"ENSG00000166741","NNMT"
334.213371344115,-3.04522272120623,0.189409664255486,-16.0774411019422,3.67237556170529e-58,1.7413355663446e-55,"ENSG00000105989","WNT2"
2130.80247784628,1.81284856510094,0.114292741914302,15.8614495963377,1.17158150353169e-56,5.40099073128109e-54,"ENSG00000070404","FSTL3"
944.705796203589,2.28628130121611,0.14456133386854,15.8153030276767,2.44032708860056e-56,1.09458563141662e-53,"ENSG00000122035","RASL11A"
5036.96608663562,1.92530447864703,0.122970542201349,15.6566316142169,2.99336676722207e-55,1.30731354917941e-52,"ENSG00000119139","TJP2"
3706.63936899454,1.46315175080183,0.0942718991381923,15.5205502825079,2.51881631101022e-54,1.07185321788527e-51,"ENSG00000136478","TEX2"
847.684267008066,2.7505914602797,0.181148333309479,15.1841941354244,4.50060335942706e-52,1.86730033382629e-49,"ENSG00000221866","PLXNA4"
17200.5615676721,2.02799774147196,0.133752195632733,15.1623510319083,6.27811745220342e-52,2.54125944479922e-49,"ENSG00000196569","LAMA2"
364.367803011544,2.42455826083806,0.159938105858394,15.159353350006,6.57131273493195e-52,2.59660728926025e-49,"ENSG00000060718","COL11A1"
167.742667905474,2.94226025323586,0.194274346201133,15.1448727573621,8.19130092816847e-52,3.16146116753219e-49,"ENSG00000157150","TIMP4"
